"feature" "method" "group1" "group2" "p_values" "adj_method" "p_adjust" "description"
"76" "PWY-5840" "DESeq2" "PPMS" "Control" "0.000370815819823165" "BH" 0.00641374029101548 "superpathway of menaquinol-7 biosynthesis"
"77" "PWY-5845" "DESeq2" "RRMS" "Control" "0.000387426489659038" "BH" 0.00176410702572902 "superpathway of menaquinol-9 biosynthesis"
"78" "PWY-5850" "DESeq2" "RRMS" "Control" "0.000102185738119321" "BH" 0.000606646976936222 "superpathway of menaquinol-6 biosynthesis I"
"79" "PWY-5862" "DESeq2" "RRMS" "Control" "0.000110991532798272" "BH" 0.00065068786102987 "superpathway of demethylmenaquinol-9 biosynthesis"
"80" "PWY-5863" "DESeq2" "PPMS" "Control" "0.000990722128407451" "BH" 0.013219063827608 "superpathway of phylloquinol biosynthesis"
"81" "PWY-5896" "DESeq2" "RRMS" "Control" "0.000102185738119321" "BH" 0.000606646976936222 "superpathway of menaquinol-10 biosynthesis"
"82" "PWY-5897" "DESeq2" "PPMS" "Control" "0.000214107533834058" "BH" 0.00412429426313742 "superpathway of menaquinol-11 biosynthesis"
"83" "PWY-5898" "DESeq2" "PPMS" "Control" "0.000214107533834058" "BH" 0.00412429426313742 "superpathway of menaquinol-12 biosynthesis"
"84" "PWY-5899" "DESeq2" "PPMS" "Control" "0.000214107533834058" "BH" 0.00412429426313742 "superpathway of menaquinol-13 biosynthesis"
"85" "PWY-5910" "DESeq2" "SPMS" "Control" "0.000995232839076915" "BH" 0.00860692103423925 "superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)"
"86" "PWY-5913" "DESeq2" "RRMS" "Control" "0.00194509912769874" "BH" 0.00680784694694559 "TCA cycle VI (obligate autotrophs)"
"87" "PWY-5973" "DESeq2" "RRMS" "Control" "0.00171631007340597" "BH" 0.00609810170020758 "cis-vaccenate biosynthesis"
"88" "PWY-6113" "DESeq2" "PPMS" "Control" "0.000631667175768101" "BH" 0.00951576035753881 "superpathway of mycolate biosynthesis"
"89" "PWY-6113" "DESeq2" "RRMS" "Control" "0.00259009350924217" "BH" 0.00858613052736402 "superpathway of mycolate biosynthesis"
"90" "PWY-6121" "DESeq2" "RRMS" "Control" "0.00117504958492159" "BH" 0.00443544696747249 "5-aminoimidazole ribonucleotide biosynthesis I"
"91" "PWY-6122" "DESeq2" "RRMS" "Control" "0.000132399940838994" "BH" 0.000705631502880548 "5-aminoimidazole ribonucleotide biosynthesis II"
"92" "PWY-6123" "DESeq2" "RRMS" "Control" "0.000693322839623782" "BH" 0.00290328939092459 "inosine-5'-phosphate biosynthesis I"
"93" "PWY-6151" "DESeq2" "PPMS" "Control" "0.00197198904753849" "BH" 0.0224614362244018 "S-adenosyl-L-methionine cycle I"
"94" "PWY-6163" "DESeq2" "RRMS" "Control" "0.000123551397185394" "BH" 0.000673786107906393 "chorismate biosynthesis from 3-dehydroquinate"
"95" "PWY-6174" "DESeq2" "PPMS" "Control" "0.000188307778246944" "BH" 0.00412429426313742 "mevalonate pathway II (archaea)"
"96" "PWY-6174" "DESeq2" "RRMS" "Control" "0.000959241500143234" "BH" 0.00374903552972647 "mevalonate pathway II (archaea)"
"97" "PWY-6174" "DESeq2" "SPMS" "Control" "0.00179341392990176" "BH" 0.013294036591494 "mevalonate pathway II (archaea)"
"98" "PWY-621" "DESeq2" "PPMS" "Control" "0.000100541299074371" "BH" 0.00335377047626652 "sucrose degradation III (sucrose invertase)"
"99" "PWY-6269" "DESeq2" "RRMS" "Control" "0.000554936983678988" "BH" 0.00243238733967706 "adenosylcobalamin salvage from cobinamide II"
"100" "PWY-6269" "DESeq2" "SPMS" "Control" "0.00266922246969401" "BH" 0.018065607149958 "adenosylcobalamin salvage from cobinamide II"
"101" "PWY-6277" "DESeq2" "RRMS" "Control" "0.000132399940838994" "BH" 0.000705631502880548 "superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
"102" "PWY-6284" "DESeq2" "RRMS" "Control" "0.000576134384694963" "BH" 0.00248015554064076 "superpathway of unsaturated fatty acids biosynthesis (E. coli)"
"103" "PWY-6285" "DESeq2" "RRMS" "Control" "0.000842732572609637" "BH" 0.00336846735708269 "superpathway of fatty acids biosynthesis (E. coli)"
"104" "PWY-6317" "DESeq2" "PPMS" "Control" "0.00205529256921111" "BH" 0.0228528959481331 "galactose degradation I (Leloir pathway)"
"105" "PWY-6349" "DESeq2" "RRMS" "Control" "0.000245557912712402" "BH" 0.00119965271939705 "CDP-archaeol biosynthesis"
"106" "PWY-6349" "DESeq2" "SPMS" "Control" "0.000142458506101146" "BH" 0.00173104959255336 "CDP-archaeol biosynthesis"
"107" "PWY-6350" "DESeq2" "RRMS" "Control" "0.000117349047357491" "BH" 0.000666620277407307 "archaetidylinositol biosynthesis"
"108" "PWY-6350" "DESeq2" "SPMS" "Control" "0.000173006274184409" "BH" 0.00201984825110298 "archaetidylinositol biosynthesis"
"109" "PWY-6353" "DESeq2" "SPMS" "Control" "0.00325971065448104" "BH" 0.0211404346473204 "purine nucleotides degradation II (aerobic)"
"110" "PWY-6471" "DESeq2" "RRMS" "Control" "0.00217093814715127" "BH" 0.00737804341314453 "peptidoglycan biosynthesis IV (Enterococcus faecium)"
"111" "PWY-6471" "DESeq2" "SPMS" "Control" "0.00396225246189006" "BH" 0.0237227166628546 "peptidoglycan biosynthesis IV (Enterococcus faecium)"
"112" "PWY-6588" "DESeq2" "SPMS" "Control" "0.0026479185082945" "BH" 0.018065607149958 "pyruvate fermentation to acetone"
"113" "PWY-6654" "DESeq2" "PPMS" "Control" "0.000160955185509677" "BH" 0.0039561090333168 "phosphopantothenate biosynthesis III"
"114" "PWY-6654" "DESeq2" "SPMS" "Control" "0.000205246436144723" "BH" 0.00222907175999036 "phosphopantothenate biosynthesis III"
"115" "PWY-6737" "DESeq2" "RRMS" "Control" "0.00338696022472085" "BH" 0.010610008382587 "starch degradation V"
"116" "PWY-6749" "DESeq2" "RRMS" "Control" "0.000404548216402178" "BH" 0.00182435686050598 "CMP-legionaminate biosynthesis I"
"117" "PWY-6876" "DESeq2" "RRMS" "Control" "0.00454239814687972" "BH" 0.0134834476638392 "isopropanol biosynthesis"
"118" "PWY-6876" "DESeq2" "SPMS" "Control" "0.00303280576958043" "BH" 0.0199481731604797 "isopropanol biosynthesis"
"119" "PWY-7007" "DESeq2" "PPMS" "Control" "0.000121579173784784" "BH" 0.00354859213484338 "methyl ketone biosynthesis"
"120" "PWY-7007" "DESeq2" "RRMS" "Control" "0.00286370997743157" "BH" 0.00927864792282497 "methyl ketone biosynthesis"
"121" "PWY-7014" "DESeq2" "PPMS" "Control" "0.00110567103980934" "BH" 0.0141973356523481 "paromamine biosynthesis I"
"122" "PWY-7111" "DESeq2" "RRMS" "Control" "0.00202714134396655" "BH" 0.00699065654647288 "pyruvate fermentation to isobutanol (engineered)"
"123" "PWY-7220" "DESeq2" "RRMS" "Control" "0.00332034710077208" "BH" 0.0105219107450142 "adenosine deoxyribonucleotides de novo biosynthesis II"
"124" "PWY-7220" "DESeq2" "SPMS" "Control" "0.00254098551060758" "BH" 0.0177110482605036 "adenosine deoxyribonucleotides de novo biosynthesis II"
"125" "PWY-7221" "DESeq2" "RRMS" "Control" "0.000820172618768018" "BH" 0.00334487789741044 "guanosine ribonucleotides de novo biosynthesis"
"126" "PWY-7222" "DESeq2" "RRMS" "Control" "0.00332034710077208" "BH" 0.0105219107450142 "guanosine deoxyribonucleotides de novo biosynthesis II"
"127" "PWY-7222" "DESeq2" "SPMS" "Control" "0.00254098551060758" "BH" 0.0177110482605036 "guanosine deoxyribonucleotides de novo biosynthesis II"
"128" "PWY-7254" "DESeq2" "RRMS" "Control" "0.00444963583956604" "BH" 0.0132922242595954 "TCA cycle VII (acetate-producers)"
"129" "PWY-7286" "DESeq2" "SPMS" "Control" "0.0035254488958573" "BH" 0.0219517951248715 "7-(3-amino-3-carboxypropyl)-wyosine biosynthesis"
"130" "PWY-7400" "DESeq2" "RRMS" "Control" "0.00113259569418364" "BH" 0.00435399492272235 "L-arginine biosynthesis IV (archaebacteria)"
"131" "PWY-7431" "DESeq2" "PPMS" "Control" "0.000119144832763281" "BH" 0.00354859213484338 "aromatic biogenic amine degradation (bacteria)"
"132" "PWY-7446" "DESeq2" "PPMS" "Control" "0.00473730783889154" "BH" 0.0460900575158823 "sulfoglycolysis"
"133" "PWY-7446" "DESeq2" "SPMS" "Control" "0.000144563028071908" "BH" 0.00173104959255336 "sulfoglycolysis"
"134" "PWY-7560" "DESeq2" "RRMS" "Control" "0.000120816041747593" "BH" 0.000666620277407307 "methylerythritol phosphate pathway II"
"135" "PWY-7616" "DESeq2" "PPMS" "Control" "0.00319256399244463" "BH" 0.0331317196549254 "methanol oxidation to carbon dioxide"
"136" "PWY-7616" "DESeq2" "RRMS" "Control" "0.000177601434515191" "BH" 0.000895645943952952 "methanol oxidation to carbon dioxide"
"137" "PWY-922" "DESeq2" "SPMS" "Control" "0.000643129315964055" "BH" 0.00600682781110427 "mevalonate pathway I"
"138" "PWY0-1241" "DESeq2" "RRMS" "Control" "0.00407759120057839" "BH" 0.0124300035714879 "ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"
"139" "PWY0-1241" "DESeq2" "SPMS" "Control" "0.000204650031118399" "BH" 0.00222907175999036 "ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"
"140" "PWY0-1297" "DESeq2" "PPMS" "Control" "0.000129465517665914" "BH" 0.00355649392646952 "superpathway of purine deoxyribonucleosides degradation"
"141" "PWY0-1319" "DESeq2" "RRMS" "Control" "0.00023960236739922" "BH" 0.0011828790558972 "CDP-diacylglycerol biosynthesis II"
"142" "PWY0-1338" "DESeq2" "PPMS" "Control" "0.000530623481664203" "BH" 0.00854486779093734 "polymyxin resistance"
"143" "PWY0-1415" "DESeq2" "RRMS" "Control" "0.00348256937202739" "BH" 0.0107455594439529 "superpathway of heme biosynthesis from uroporphyrinogen-III"
"144" "PWY0-321" "DESeq2" "PPMS" "Control" "0.000156105653037192" "BH" 0.0039561090333168 "phenylacetate degradation I (aerobic)"
"145" "PWY0-321" "DESeq2" "SPMS" "Control" "0.00171779164964569" "BH" 0.0131509623013859 "phenylacetate degradation I (aerobic)"
"146" "PWY0-41" "DESeq2" "RRMS" "Control" "0.00214235184717245" "BH" 0.00733403661550277 "allantoin degradation IV (anaerobic)"
"147" "PWY0-781" "DESeq2" "SPMS" "Control" "0.00125446523212932" "BH" 0.0102778116386736 "aspartate superpathway"
"148" "PWY0-845" "DESeq2" "RRMS" "Control" "0.00410799691595017" "BH" 0.0124300035714879 "superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"149" "PWY0-845" "DESeq2" "SPMS" "Control" "0.00282336851726558" "BH" 0.0188359013937575 "superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"150" "PWY490-3" "DESeq2" "PPMS" "Control" "0.000880574410056241" "BH" 0.012094948514596 "nitrate reduction VI (assimilatory)"
"151" "PWY490-3" "DESeq2" "SPMS" "Control" "0.000466542604587317" "BH" 0.00453907075713077 "nitrate reduction VI (assimilatory)"
"152" "PYRIDNUCSAL-PWY" "DESeq2" "RRMS" "Control" "0.000651557965885617" "BH" 0.00275297915315635 "NAD salvage pathway I"
"153" "PYRIDOXSYN-PWY" "DESeq2" "RRMS" "Control" "0.00410393311151179" "BH" 0.0124300035714879 "pyridoxal 5'-phosphate biosynthesis I"
"154" "PYRIDOXSYN-PWY" "DESeq2" "SPMS" "Control" "0.000706511305238837" "BH" 0.00646942704993209 "pyridoxal 5'-phosphate biosynthesis I"
"155" "REDCITCYC" "DESeq2" "PPMS" "Control" "0.0039361595219266" "BH" 0.0399605760160809 "TCA cycle VIII (helicobacter)"
"156" "REDCITCYC" "DESeq2" "RRMS" "Control" "0.00115611188927097" "BH" 0.00440826403307386 "TCA cycle VIII (helicobacter)"
"157" "TCA" "DESeq2" "RRMS" "Control" "0.00421877272172384" "BH" 0.0126833615800544 "TCA cycle I (prokaryotic)"
"158" "TCA" "DESeq2" "SPMS" "Control" "0.00027586864331137" "BH" 0.00274107779630659 "TCA cycle I (prokaryotic)"
"159" "TCA-GLYOX-BYPASS" "DESeq2" "RRMS" "Control" "0.000844058424075698" "BH" 0.00336846735708269 "superpathway of glyoxylate bypass and TCA"
"160" "THRESYN-PWY" "DESeq2" "RRMS" "Control" "0.000847503514148737" "BH" 0.00336846735708269 "superpathway of L-threonine biosynthesis"
"161" "VALDEG-PWY" "DESeq2" "RRMS" "Control" "0.00160769737955825" "BH" 0.00575580206880015 "L-valine degradation I"
"162" "VALSYN-PWY" "DESeq2" "RRMS" "Control" "0.000253774194302429" "BH" 0.00121449078701877 "L-valine biosynthesis"
